mean,sd,lower95,lower68,median,upper68,upper95,l_group,date,basin,size_class
66.10091252,4.436131591229006,57.7523875,61.670884,65.96485,70.48067999999999,75.0938375,178,1991-06-01,south,small
199.79924115,8.043537440518637,184.21294999999998,191.809,199.75,207.82464000000002,215.90742499999996,179,1991-08-01,south,small
1481.111908,27.208548060561945,1428.63,1453.86,1480.86,1508.07,1534.9205,180,1992-06-01,south,small
17.7502344835,2.3031558656620237,13.5081375,15.456168000000002,17.6596,20.031916,22.5665025,181,1992-09-01,south,small
13.992198798,2.0706233859410808,10.22809,11.929884000000001,13.90315,16.043996,18.283034999999998,182,1993-06-01,south,small
2.80902338295,0.9107307492411977,1.29976825,1.914772,2.71744,3.69857,4.870100749999996,183,1993-08-01,south,small
74.053319165,4.691052389118358,65.1196075,69.367108,73.9551,78.719232,83.51334499999997,184,1994-06-01,south,small
65.972178,4.535011776307251,57.30317,61.480036,65.91425000000001,70.499,75.07625249999998,185,1994-08-01,south,small
369.2127415,11.506930266595297,347.208925,357.81636000000003,369.009,380.72348,392.0776249999999,186,1995-06-01,south,small
10.7888773765,1.7448342799057042,7.615452,9.0737628,10.6993,12.516812000000002,14.460505,187,1995-08-01,south,small
48.59737912,4.587953841487131,40.0658675,44.046512,48.47215,53.100512,57.98276499999999,188,1996-06-01,south,small
160.7872988,7.157811538586362,146.999975,153.60336,160.734,167.86032,175.07034999999996,189,1996-08-01,south,small
90.48857665,5.404213997783636,80.181385,85.12648800000001,90.3788,95.884672,101.36432499999998,190,1997-06-01,south,small
281.65230755,10.19762877625459,262.113975,271.51868,281.4275,291.81116,302.20117500000003,191,1997-08-01,south,small
129.2778849,6.673765661562994,116.55497500000001,122.55,129.23950000000002,135.927,142.58704999999998,192,1998-06-01,south,small
25.803850005,2.919110326925309,20.437345,22.881048,25.70865,28.702731999999997,31.846212499999993,193,1998-08-01,south,small
71.881528905,4.7732646052988335,62.761869999999995,67.17083199999999,71.77985,76.626588,81.50462749999998,194,1999-07-01,south,small
49.02249978,3.9324000060680855,41.6724925,45.138327999999994,48.9207,52.890812000000004,57.0949575,195,1999-08-01,south,small
36.708013005,3.436506870142239,30.242897499999998,33.293628,36.611149999999995,40.123591999999995,43.63188999999999,196,2000-06-01,south,small
74.547932725,4.855267718195702,65.276385,69.719012,74.46305000000001,79.360748,84.15344,197,2000-09-01,south,small
22.496243835,2.5852347439163177,17.649237499999998,19.935336000000003,22.404449999999997,25.048092,27.82304,198,2001-06-01,south,small
45.065738915,3.7770223168277943,38.033942499999995,41.322168000000005,44.9773,48.796416,52.860037499999976,199,2001-08-01,south,small
75.92914065,5.036965160370662,66.36228,70.892144,75.8522,80.92106000000001,86.04917999999998,200,2002-06-01,south,small
73.13131027,4.668525260554663,64.2836675,68.456408,73.0413,77.72889599999999,82.5936675,201,2002-08-01,south,small
48.569701855,4.043338352324937,41.0547925,44.553323999999996,48.4708,52.572664,56.86204999999998,202,2003-06-01,south,small
84.507932655,5.339376051730785,74.346295,79.18365999999999,84.39699999999999,89.781136,95.31530749999999,203,2003-08-01,south,small
30.633895825,3.1486395473370803,24.730897499999998,27.516336000000003,30.516350000000003,33.778516,37.0897175,204,2004-07-01,south,small
225.5084105,8.838754720855231,208.26892500000002,216.709,225.49200000000002,234.29616,243.20305000000002,205,2004-08-01,south,small
56.501581925000004,4.2145151159319525,48.49063,52.320572,56.39875,60.669696,65.00759249999999,206,2005-06-01,south,small
167.3563535,7.583093429348951,152.709875,159.77751999999998,167.28750000000002,174.89715999999999,182.39934999999997,207,2005-08-01,south,small
59.1543993,4.277488364200513,51.051322500000005,54.873324,59.0274,63.416624,67.84203000000001,208,2006-06-01,south,small
16.1079300395,2.1693238130705095,12.135515,13.977868,16.00555,18.249972,20.652152499999996,209,2006-09-01,south,small
9.5352994715,1.6955627805023976,6.495396749999999,7.8590408,9.4337,11.226044,13.142449999999997,210,2007-06-01,south,small
384.8704728,11.583145992311993,362.78,373.36284,384.7655,396.326,407.935025,211,2007-09-01,south,small
124.512508945,6.200015067041115,112.6378,118.34667999999999,124.4405,130.71591999999998,136.83707499999997,212,2008-06-01,south,small
327.97124085,10.49476820505461,307.66085,317.65184,327.7685,338.36832000000004,348.84712499999995,213,2008-08-01,south,small
105.71079694,5.5892637683418736,94.993835,100.153,105.64,111.20916,117.06514999999997,214,2009-06-01,south,small
34.7249907,3.332728016826935,28.587685,31.40402,34.62425,38.0165,41.56074999999999,215,2009-08-01,south,small
14.965842805,2.141765816047785,11.0547625,12.827368000000002,14.86475,17.095596,19.433944999999987,216,2010-06-01,south,small
126.5565054,6.4606464371988555,114.2999,120.11868,126.41300000000001,132.98116,139.591025,217,2010-08-01,south,small
471.8190172,13.365876832665274,445.864925,458.58836,471.78499999999997,485.10479999999995,498.182075,218,2011-06-01,south,small
31.927723445,3.0858825651260746,26.196295000000003,28.8414,31.843049999999998,34.987632,38.221457499999985,219,2011-08-01,south,small
34.369552585,3.2950650401942307,28.185197499999997,31.106883999999997,34.2727,37.648296,41.05424749999999,220,2012-06-01,south,small
143.07987825,6.810812565099441,130.101925,136.33652,142.923,149.86348,156.772,221,2012-08-01,south,small
34.17114708,3.1198671550509554,28.295445,31.037251999999995,34.1122,37.274232,40.58279999999996,222,2013-06-01,south,small
150.1469713,6.6861737427726355,137.223,143.54467999999997,149.9635,156.88132000000002,163.447275,223,2013-08-01,south,small
4.8525564745,1.1913596403664735,2.8008325,3.6829704,4.755475000000001,6.0186348,7.456535999999991,224,2014-06-01,south,small
130.4107822,6.467480831659161,117.9997,123.95667999999999,130.3585,136.771,143.34417499999998,225,2014-08-01,south,small
604.7279401,15.058930059328203,575.627825,589.81584,604.577,619.6181600000001,634.561225,226,2015-06-01,south,small
9.837825381,1.7550061630503708,6.6400285,8.0947792,9.75224,11.564816,13.588479999999993,227,2015-08-01,south,small
1.073475701065,0.5357852008809784,0.29049472499999995,0.56031116,0.9861085,1.5919447999999998,2.3374237499999952,228,2016-06-01,south,small
14.164153124,2.0724864308464386,10.3796775,12.121084000000002,14.0747,16.205616,18.517329999999987,229,2017-06-01,south,small
20.367051495,2.492444726214892,15.704497499999999,17.915568,20.2685,22.845616000000003,25.511079999999993,230,2017-08-01,south,small
27.714402225,2.9241478582170544,22.2019675,24.784668000000003,27.639049999999997,30.596128,33.714127500000004,231,2018-06-01,south,small
