year,stage,area,count
2017,second,4,7
2017,second,7,7
2017,second,8,1
2017,second,9,2
2017,second,10,2
2017,third,3,4
2017,third,4,2
2017,third,7,21
2017,third,8,2
2017,third,10,2
2017,adult,1,4
2017,adult,2,4
2017,adult,3,4
2017,adult,4,19
2017,adult,5,2
2017,adult,6,4
2017,adult,7,18
2017,adult,10,3
2018,first,1,1
2018,first,2,2
2018,first,3,15
2018,first,4,8
2018,first,5,6
2018,first,8,1
2018,first,9,5
2018,first,10,3
2018,second,1,1
2018,second,2,2
2018,second,3,7
2018,second,4,6
2018,second,5,1
2018,second,7,9
2018,second,8,7
2018,second,9,3
2018,second,10,1
2018,third,2,1
2018,third,3,1
2018,third,4,5
2018,third,5,4
2018,third,7,16
2018,third,8,6
2018,third,9,5
2018,third,10,4
2018,adult,0,5
2018,adult,3,8
2018,adult,4,8
2018,adult,5,9
2018,adult,7,14
2018,adult,8,2
2018,adult,9,4
2019,first,0,1
2019,first,1,1
2019,first,2,2
2019,first,3,4
2019,first,4,2
2019,second,0,15
2019,second,2,1
2019,second,3,3
2019,second,4,1
2019,second,7,1
2019,second,8,3
2019,second,10,2
2019,third,0,9
2019,third,2,1
2019,third,3,6
2019,third,4,2
2019,third,5,1
2019,third,7,9
2019,third,8,2
2019,third,9,2
2019,third,10,1
2019,adult,0,9
2019,adult,1,5
2019,adult,2,2
2019,adult,3,21
2019,adult,4,9
2019,adult,5,1
2019,adult,6,5
2019,adult,7,10
2019,adult,8,6
2019,adult,9,4
2019,adult,10,1
2020,first,1,16
2020,first,2,3
2020,first,3,7
2020,first,4,16
2020,first,5,2
2020,first,6,2
2020,first,8,1
2020,first,10,1
2020,second,1,23
2020,second,2,8
2020,second,3,30
2020,second,4,32
2020,second,5,9
2020,second,6,6
2020,second,7,8
2020,second,8,8
2020,second,9,8
2020,second,10,6
2020,third,1,8
2020,third,2,6
2020,third,3,17
2020,third,4,14
2020,third,5,7
2020,third,6,3
2020,third,7,7
2020,third,8,2
2020,third,9,9
2020,third,10,4
2020,adult,0,5
2020,adult,1,3
2020,adult,2,4
2020,adult,3,1
2020,adult,4,14
2020,adult,5,8
2020,adult,6,11
2020,adult,7,6
2020,adult,8,10
2020,adult,9,9
2020,adult,10,2
1986,first,0,0
1986,first,7,0
1986,first,8,0
1986,first,9,0
1986,first,10,0
1987,first,0,0
1987,first,5,0
1987,first,7,0
1987,first,8,0
1987,first,9,0
1987,first,10,0
1988,first,0,0
1988,first,1,0
1988,first,2,0
1988,first,4,0
1988,first,6,0
1988,first,7,0
1988,first,8,0
1988,first,9,0
1988,first,10,0
1989,first,0,0
1989,first,1,0
1989,first,2,0
1989,first,3,0
1989,first,4,0
1989,first,5,0
1989,first,6,0
1989,first,7,0
1989,first,8,0
1989,first,9,0
1989,first,10,0
1990,first,0,0
1990,first,2,0
1990,first,5,0
1990,first,6,0
1990,first,7,0
1990,first,8,0
1990,first,9,0
1990,first,10,0
1991,first,0,0
1991,first,1,0
1991,first,9,0
1991,first,10,0
1992,first,1,0
1992,first,3,0
1992,first,4,0
1992,first,9,0
1992,first,10,0
1993,first,0,0
1993,first,1,0
1993,first,2,0
1993,first,3,0
1993,first,5,0
1993,first,6,0
1993,first,7,0
1993,first,8,0
1993,first,9,0
1993,first,10,0
1994,first,5,0
1994,first,7,0
1994,first,8,0
1994,first,9,0
1994,first,10,0
1995,first,0,0
1995,first,1,0
1995,first,2,0
1995,first,3,0
1995,first,4,0
1995,first,6,0
1995,first,7,0
1995,first,8,0
1995,first,9,0
1995,first,10,0
1996,first,1,0
1996,first,2,0
1996,first,5,0
1996,first,6,0
1996,first,8,0
1996,first,9,0
1996,first,10,0
1997,first,0,0
1997,first,1,0
1997,first,2,0
1997,first,3,0
1997,first,4,0
1997,first,5,0
1997,first,7,0
1997,first,9,0
1997,first,10,0
1998,first,1,0
1998,first,2,0
1998,first,3,0
1998,first,4,0
1998,first,5,0
1998,first,6,0
1998,first,7,0
1998,first,8,0
1998,first,9,0
1998,first,10,0
1999,first,6,0
1999,first,7,0
1999,first,8,0
1999,first,9,0
1999,first,10,0
2000,first,0,0
2000,first,2,0
2000,first,3,0
2000,first,5,0
2000,first,6,0
2000,first,7,0
2000,first,8,0
2000,first,9,0
2000,first,10,0
2001,first,0,0
2001,first,1,0
2001,first,2,0
2001,first,4,0
2001,first,5,0
2001,first,6,0
2001,first,7,0
2001,first,8,0
2001,first,9,0
2001,first,10,0
2002,first,0,0
2002,first,1,0
2002,first,2,0
2002,first,3,0
2002,first,5,0
2002,first,6,0
2002,first,7,0
2002,first,8,0
2002,first,9,0
2002,first,10,0
2003,first,0,0
2003,first,1,0
2003,first,2,0
2003,first,3,0
2003,first,4,0
2003,first,5,0
2003,first,7,0
2003,first,8,0
2003,first,10,0
2004,first,0,0
2004,first,1,0
2004,first,2,0
2004,first,5,0
2004,first,7,0
2004,first,8,0
2004,first,9,0
2004,first,10,0
2005,first,0,0
2005,first,1,0
2005,first,3,0
2005,first,5,0
2005,first,6,0
2005,first,7,0
2005,first,8,0
2005,first,9,0
2005,first,10,0
2006,first,0,0
2006,first,1,0
2006,first,2,0
2006,first,3,0
2006,first,4,0
2006,first,5,0
2006,first,6,0
2006,first,7,0
2006,first,8,0
2006,first,9,0
2006,first,10,0
2007,first,0,0
2007,first,1,0
2007,first,2,0
2007,first,3,0
2007,first,4,0
2007,first,5,0
2007,first,6,0
2007,first,7,0
2007,first,8,0
2007,first,9,0
2007,first,10,0
2008,first,0,0
2008,first,1,0
2008,first,2,0
2008,first,3,0
2008,first,4,0
2008,first,5,0
2008,first,6,0
2008,first,7,0
2008,first,8,0
2008,first,9,0
2009,first,0,0
2009,first,1,0
2009,first,2,0
2009,first,3,0
2009,first,4,0
2009,first,5,0
2009,first,6,0
2009,first,7,0
2009,first,8,0
2009,first,9,0
2009,first,10,0
2010,first,0,0
2010,first,1,0
2010,first,3,0
2010,first,4,0
2010,first,5,0
2010,first,6,0
2010,first,7,0
2010,first,8,0
2010,first,10,0
2011,first,0,0
2011,first,1,0
2011,first,2,0
2011,first,3,0
2011,first,4,0
2011,first,5,0
2011,first,7,0
2011,first,8,0
2011,first,9,0
2011,first,10,0
2012,first,1,0
2012,first,4,0
2012,first,5,0
2012,first,7,0
2012,first,8,0
2012,first,10,0
2013,first,1,0
2013,first,3,0
2013,first,4,0
2013,first,5,0
2013,first,6,0
2013,first,7,0
2013,first,8,0
2013,first,9,0
2013,first,10,0
2014,first,0,0
2014,first,1,0
2014,first,5,0
2014,first,6,0
2014,first,7,0
2014,first,8,0
2014,first,9,0
2014,first,10,0
2015,first,0,0
2015,first,1,0
2015,first,2,0
2015,first,5,0
2015,first,6,0
2015,first,7,0
2015,first,8,0
2016,first,0,0
2016,first,1,0
2016,first,2,0
2016,first,3,0
2016,first,4,0
2016,first,5,0
2016,first,6,0
2016,first,7,0
2016,first,8,0
2016,first,9,0
2016,first,10,0
2017,first,0,0
2017,first,1,0
2017,first,2,0
2017,first,3,0
2017,first,4,0
2017,first,5,0
2017,first,6,0
2017,first,7,0
2017,first,8,0
2017,first,9,0
2017,first,10,0
2018,first,0,0
2018,first,6,0
2018,first,7,0
2019,first,5,0
2019,first,6,0
2019,first,7,0
2019,first,8,0
2019,first,9,0
2019,first,10,0
2020,first,0,0
2020,first,7,0
2020,first,9,0
1986,second,0,0
1986,second,7,0
1986,second,9,0
1986,second,10,0
1987,second,0,0
1987,second,5,0
1987,second,9,0
1987,second,10,0
1988,second,0,0
1988,second,4,0
1988,second,5,0
1988,second,6,0
1988,second,7,0
1988,second,8,0
1988,second,9,0
1989,second,0,0
1989,second,1,0
1989,second,9,0
1989,second,10,0
1990,second,0,0
1990,second,6,0
1990,second,9,0
1990,second,10,0
1991,second,0,0
1991,second,5,0
1991,second,6,0
1991,second,9,0
1991,second,10,0
1992,second,9,0
1992,second,10,0
1993,second,0,0
1993,second,1,0
1993,second,6,0
1993,second,9,0
1994,second,9,0
1994,second,10,0
1995,second,9,0
1995,second,10,0
1996,second,2,0
1996,second,9,0
1996,second,10,0
1997,second,9,0
1997,second,10,0
1998,second,1,0
1998,second,4,0
1998,second,5,0
1998,second,9,0
1998,second,10,0
1999,second,9,0
1999,second,10,0
2000,second,3,0
2000,second,9,0
2000,second,10,0
2001,second,0,0
2001,second,5,0
2001,second,6,0
2001,second,10,0
2002,second,10,0
2003,second,0,0
2003,second,6,0
2003,second,10,0
2004,second,0,0
2004,second,5,0
2004,second,9,0
2004,second,10,0
2005,second,0,0
2005,second,5,0
2005,second,6,0
2005,second,10,0
2006,second,0,0
2006,second,6,0
2006,second,7,0
2006,second,8,0
2006,second,10,0
2007,second,1,0
2007,second,3,0
2007,second,5,0
2007,second,6,0
2007,second,7,0
2007,second,9,0
2007,second,10,0
2008,second,0,0
2008,second,5,0
2008,second,6,0
2009,second,0,0
2009,second,1,0
2009,second,5,0
2009,second,6,0
2009,second,7,0
2009,second,10,0
2010,second,5,0
2010,second,7,0
2010,second,10,0
2011,second,0,0
2011,second,1,0
2011,second,3,0
2011,second,5,0
2011,second,6,0
2011,second,7,0
2011,second,9,0
2012,second,1,0
2012,second,5,0
2012,second,8,0
2012,second,10,0
2013,second,1,0
2013,second,5,0
2013,second,6,0
2013,second,7,0
2013,second,9,0
2013,second,10,0
2014,second,0,0
2014,second,1,0
2014,second,3,0
2014,second,5,0
